utterance,Pred_vi,Actual_vi,Pred_slots,Actual_slots,vi_result,slot_result,overall_success
Stop Vacuum,cleaning-stop,cleaning-stop,"{""device"": ""vaccum""}","{""device"": ""Vacuum""}",True,False,False
Turn off humidifier,device-turnOff,device-turnOff,"{""device"": ""humidifier""}","{""device"": ""humidifier""}",True,True,True
Is range on,range-setValue,powerSwitch-getStatus,"{""device"": ""range"", ""value"": ""on""}","{""device"": ""range""}",False,False,False
Is dryer on,device-turnOn,powerSwitch-getStatus,"{""device"": ""dryer""}","{""device"": ""dryer""}",False,True,False
Turn off hood,device-turnOff,device-turnOff,"{""device"": ""hood""}","{""device"": ""hood""}",True,True,True
Is air conditioner on,device-turnOn,powerSwitch-getStatus,"{""device"": ""airConditioner""}","{""device"": ""air conditioner""}",False,False,False
Check the temperature setting of the air conditioner,deviceTemperatureSetting-get,deviceTemperatureSetting-getValue,"{""device"": ""air conditioner""}","{""device"": ""air conditioner""}",False,True,False
Check the mode of the air conditioner,deviceMode-get,airConditioningMode-getValue,"{""device"": ""air conditioner""}","{""device"": ""air conditioner""}",False,True,False
Start Cleaning,cleaning-start,cleaning-start,"{""device"": ""vaccum"", ""location"": ""house"", ""room"": ""Living Room""}",{},True,False,False
Is oven on,oven-getStatus,powerSwitch-getStatus,"{""device"": ""oven"", ""location"": ""house""}","{""device"": ""oven""}",False,False,False
Is speaker on,device-turnOn,powerSwitch-getStatus,"{""device"": ""speaker""}","{""device"": ""speaker""}",False,True,False
What level is the speaker volume at,powerSwitch-getStatus,volume-getValue,"{""device"": ""speaker""}","{""device"": ""speaker""}",False,True,False
Clean the living room,cleaning-start,cleaning-start,"{""device"": ""vaccum"", ""location"": ""living room""}","{""rvcLocation"": ""living room""}",True,False,False
Check the dimming level of living room light,get-brightness,brightness-getValue,"{""device"": ""light""}","{""device"": ""light"", ""location"": ""living room""}",False,False,False
Check the status of power on living room light,device-turnOn,powerSwitch-getStatus,"{""device"": ""light"", ""location"": ""Living Room""}","{""device"": ""light"", ""location"": ""living room""}",False,False,False
Is light on,device-turnOn,powerSwitch-getStatus,"{""device"": ""light""}","{""device"": ""light""}",False,True,False
Check the dimming level of the light,brightness-getValue,brightness-getValue,"{""device"": ""light""}","{""device"": ""light""}",True,True,True
Clean near air conditioner,cleaning-start,cleaning-start,"{""device"": ""air conditioner""}","{""rvcObject"": ""air conditioner""}",True,False,False
Check the status of power on outlet,device-turnOn,powerSwitch-getStatus,"{""device"": ""outlet""}","{""device"": ""outlet""}",False,True,False
Is switch on,device-turnOn,powerSwitch-getStatus,"{""device"": ""switch""}","{""device"": ""switch""}",False,True,False
Turn on the heat mat,device-turnOn,device-turnOn,"{""device"": ""heat mat""}","{""device"": ""heat mat""}",True,True,True
Is thermostat on,device-turnOn,powerSwitch-getStatus,"{""device"": ""thermostat""}","{""device"": ""thermostat""}",False,True,False
Is the TV on,device-turnOn,powerSwitch-getStatus,"{""device"": ""TV""}","{""device"": ""TV""}",False,True,False
Check the TV channel,channel-setByName,channel-getValue,"{""compartment"": ""channel"", ""device"": ""TV"", ""name"": ""HBO""}","{""device"": ""TV""}",False,False,False
What level is the TV volume at,volume-getValue,volume-getValue,"{""device"": ""TV""}","{""device"": ""TV""}",True,True,True
Is dishwasher on,device-getStatus,powerSwitch-getStatus,"{""device"": ""dishwasher""}","{""device"": ""dishwasher""}",False,True,False
Mute the TV,device-turnOff,mute-turnOn,"{""device"": ""TV""}","{""device"": ""TV""}",False,True,False
Mute speaker,mute-turnOn,mute-turnOn,"{""device"": ""speaker""}","{""device"": ""speaker""}",True,True,True
Unmute the TV,mute-turnOff,mute-turnOff,"{""device"": ""TV""}","{""device"": ""TV""}",True,True,True
Unmute speaker,mute-turnOff,mute-turnOff,"{""device"": ""speaker""}","{""device"": ""speaker""}",True,True,True
Turn on cooktop hood,device-turnOn,device-turnOn,"{""device"": ""cooktop hood""}","{""device"": ""cooktop hood""}",True,True,True
Play the speaker,device-turnOn,media-play,"{""device"": ""speaker""}","{""device"": ""speaker""}",False,True,False
Play the TV,device-turnOn,media-play,"{""device"": ""tv""}","{""device"": ""TV""}",False,False,False
Pause the speaker,device-turnOff,media-pause,"{""device"": ""speaker""}","{""device"": ""speaker""}",False,True,False
Turn on cooktop hood,device-turnOn,device-turnOn,"{""device"": ""cooktop hood""}","{""device"": ""cooktop hood""}",True,True,True
Show device list in office,device-listing,device-getList,"{""location"": ""office""}","{""location"": ""office""}",False,True,False
Show device list in home,device-list,device-getList,"{""location"": ""home""}","{""location"": ""home""}",False,True,False
Exit on TV,device-turnOff,application-exit,"{""device"": ""tv""}","{""device"": ""TV""}",False,False,False
Open Netflix on TV,media-play,application-launch,"{""appname"": ""Netflix"", ""device"": ""TV"", ""title"": ""The Office""}","{""appname:netflix"": ""Netflix"", ""device"": ""TV""}",False,False,False
Turn on microwave hood,device-turnOn,device-turnOn,"{""device"": ""microwave hood""}","{""device"": ""microwave hood""}",True,True,True
Launch Music on TV,media-play,application-launch,"{""compartment"": ""music"", ""device"": ""TV""}","{""appname:music"": ""Music"", ""device"": ""TV""}",False,False,False
Launch home shopping plus on TV,homeShopping-launch,application-launch,"{""device"": ""TV""}","{""appname:homeShoppingPlus"": ""home shopping plus"", ""device"": ""TV""}",False,False,False
Open google in web browser on TV,browser-open,application-launch,"{""device"": ""TV"", ""url"": ""https://www.google.com""}","{""appname:webBrowser"": ""web browser"", ""device"": ""TV"", ""title"": ""google""}",False,False,False
Search Emma Watson in Youtube on TV,media-play,application-searchIn,"{""compartment"": ""Youtube"", ""device"": ""TV"", ""title"": ""Emma Watson""}","{""appname:youtube"": ""Youtube"", ""device"": ""TV"", ""title"": ""Emma Watson""}",False,False,False
What devices are in my home,identify-device,device-getList,"{""location"": ""house""}","{""location"": ""home""}",False,False,False
Tell me the device lists in livingroom,device-getList,device-getList,"{""location"": ""livingroom""}","{""location"": ""livingroom""}",True,True,True
Preheat microwave,device-turnOn,device-turnOn,"{""device"": ""microwave""}","{""device"": ""microwave""}",True,True,True
Close the refrigerator,device-turnOff,door-close,"{""device"": ""refrigerator""}","{""device"": ""refrigerator""}",False,True,False
Close the garage door,device-turnOff,door-close,"{""device"": ""garage door""}","{""device"": ""garage door""}",False,True,False
Start microwave in speed bake mode,cooking-start,cooking-startCourse,"{""device"": ""microwave"", ""mode"": ""bake""}","{""device"": ""microwave"", ""mode"": ""speed bake""}",False,False,False
Start microwave in speed bake mode at 180 degrees,cooking-start,cooking-startCourse,"{""device"": ""microwave"", ""mode"": ""bake"", ""temperature"": ""180""}","{""device"": ""microwave"", ""mode"": ""speed bake"", ""temperature"": ""180""}",False,False,False
Start microwave in speed bake mode for 30 mins,cooking-start,cooking-startCourse,"{""device"": ""microwave"", ""mode"": ""bake""}","{""device"": ""microwave"", ""mode"": ""speed bake"", ""timer"": ""30 mins""}",False,False,False
Start microwave in speed bake mode at 180 degrees for 30 mins,cooking-start,cooking-startCourse,"{""device"": ""microwave"", ""mode"": ""bake"", ""temperature"": ""180""}","{""device"": ""microwave"", ""mode"": ""speed bake"", ""temperature"": ""180"", ""timer"": ""30 mins""}",False,False,False
Turn on the mood lighting,device-turnOn,device-turnOn,"{""device"": ""mood lighting""}","{""device"": ""mood lighting""}",True,True,True
Turn on the vent switch,device-turnOn,device-turnOn,"{""device"": ""vent switch""}","{""device"": ""vent switch""}",True,True,True
Start shoe dresser,device-turnOn,dressing-start,"{""device"": ""shoe dresser""}","{""device"": ""shoe dresser""}",False,True,False
Turn off the heating mat,device-turnOff,device-turnOff,"{""device"": ""heating mat""}","{""device"": ""heating mat""}",True,True,True
Change the mode of the air conditioner to dehumidification,deviceMode-setValue,airConditioningMode-setValue,"{""device"": ""air conditioner"", ""mode"": ""dehumidification""}","{""device"": ""air conditioner"", ""mode:dry"": ""dehumidification""}",False,False,False
Start washing in the dishwasher,washing-startCourse,dishWashing-start,"{""compartment"": ""top"", ""device"": ""dishes"", ""mode"": ""auto""}","{""device"": ""dishwasher""}",False,False,False
Turn on interior lighting of kitchen,device-turnOn,device-turnOn,"{""device"": ""lighting""}","{""device"": ""interior lighting"", ""location"": ""kitchen""}",True,False,False
